word	F	Ao	Ez		
bele	3	3	0		
Biaus	3	3	0		
boche	3	3	0		
boenes	3	3	0		
boter	3	3	0		
ceianz	3	3	0		
cest	3	3	0		
chaceor	3	3	0		
Chevaliers	3	3	0		
chevauchier	3	3	0		
cist	3	3	0		
colee	3	3	0		
conte	3	3	0		
cortois	3	3	0		
delez	3	3	0		
desconseilliez	3	3	0		
desor	3	3	0		
desouz	3	3	0		
deviser	3	3	0		
devoit	3	3	0		
dirai	3	3	0		
dishuit	3	3	0		
Dites	3	3	0		
doi	3	3	0		
envers	3	3	0		
escu	3	3	0		
esgardez	3	3	0		
establiz	3	3	0		
faisoit	3	3	0		
faites	3	3	0		
faut	3	3	0		
gart	3	3	0		
glaive	3	3	0		
greignor	3	3	0		
hauberc	3	3	0		
hauz	3	3	0		
hiaume	3	3	0		
honiz	3	3	0		
issi	3	3	0		
Johan	3	3	0		
L	3	3	0		
Lanceloz	3	3	0		
litiere	3	3	0		
lox	3	3	0		
meïsmes	3	3	0		
mise	3	3	0		
Mout	3	3	0		
nez	3	3	0		
oï	3	3	0		
outreement	3	3	0		
palefroiz	3	3	0		
pense	3	3	0		
pitié	3	3	0		
poinz	3	3	0		
pot	3	3	0		
prandre	3	3	0		
preuz	3	3	0		
qex	3	3	0		
recevoir	3	3	0		
remanoir	3	3	0		
respont	3	3	0		
riche	3	3	0		
riches	3	3	0		
sages	3	3	0		
salue	3	3	0		
samit	3	3	0		
saut	3	3	0		
savroiz	3	3	0		
serjanz	3	3	0		
sire	3	3	0		
soiez	3	3	0		
tailliez	3	3	0		
tans	3	3	0		
teste	3	3	0		
truis	3	3	0		
valor	3	3	0		
veïssiez	3	3	0		
venist	3	3	0		
vert	3	3	0		
vespres	3	3	0		
vestu	3	3	0		
vestue	3	3	0		
vestuz	3	3	0		
vile	3	3	0		
voie	3	3	0		
vostres	3	3	0		
—	2	2	0		
48	2	2	0		
52	2	2	0		
achever	2	2	0		
aides	2	2	0		
aimanz	2	2	0		
alasse	2	2	0		
amender	2	2	0		
ancores	2	2	0		
andemain	2	2	0		
andui	2	2	0		
anfes	2	2	0		
anglesches	2	2	0		
anpreïst	2	2	0		
ansin	2	2	0		
aparcevoir	2	2	0		
apelee	2	2	0		
appareilliee	2	2	0		
appareilliez	2	2	0		
Aprés	2	2	0		
aproche	2	2	0		
arestez	2	2	0		
argent	2	2	0		
arsoir	2	2	0		
assise	2	2	0		
assoir	2	2	0		
atandoit	2	2	0		
atornee	2	2	0		
aumosnes	2	2	0		
avanture	2	2	0		
avecques	2	2	0		
aventure	2	2	0		
beneïe	2	2	0		
besoigne	2	2	0		
besoigneus	2	2	0		
Biax	2	2	0		
Bohorz	2	2	0		
bonté	2	2	0		
çaianz	2	2	0		
celi	2	2	0		
certes	2	2	0		
chanbre	2	2	0		
chanbres	2	2	0		
chaut	2	2	0		
chevauchié	2	2	0		
Cil	2	2	0		
coffres	2	2	0		
coisin	2	2	0		
come	2	2	0		
compaignon	2	2	0		
comun	2	2	0		
consirrer	2	2	0		
cop	2	2	0		
corre	2	2	0		
correciee	2	2	0		
corte	2	2	0		
costume	2	2	0		
covant	2	2	0		
covient	2	2	0		
cox	2	2	0		
Damoisele	2	2	0		
damoiselles	2	2	0		
debonaireté	2	2	0		
descenduz	2	2	0		
descent	2	2	0		
desfandre	2	2	0		
desleiaus	2	2	0		
desleiauté	2	2	0		
devise	2	2	0		
devisé	2	2	0		
devroit	2	2	0		
donee	2	2	0		
donees	2	2	0		
donques	2	2	0		
droiz	2	2	0		
ei	2	2	0		
eles	2	2	0		
enferrez	2	2	0		
enquerez	2	2	0		
Ensin	2	2	0		
entr	2	2	0		
erbe	2	2	0		
ersoir	2	2	0		
esgardast	2	2	0		
estopoient	2	2	0		
eüsse	2	2	0		
façoiz	2	2	0		
faisoie	2	2	0		
faisoient	2	2	0		
fames	2	2	0		
felenie	2	2	0		
fenestres	2	2	0		
ferai	2	2	0		
fil	2	2	0		
foiees	2	2	0		
folie	2	2	0		
forz	2	2	0		
freres	2	2	0		
garison	2	2	0		
gentils	2	2	0		
gist	2	2	0		
glaives	2	2	0		
gracieus	2	2	0		
haïne	2	2	0		
haute	2	2	0		
homes	2	2	0		
honoreement	2	2	0		
isnel	2	2	0		
itant	2	2	0		
jardin	2	2	0		
Jehan	2	2	0		
Jehanz	2	2	0		
jorz	2	2	0		
jugierres	2	2	0		
jusq	2	2	0		
laisserai	2	2	0		
laissier	2	2	0		
larges	2	2	0		
leiaus	2	2	0		
leu	2	2	0		
lieve	2	2	0		
liues	2	2	0		
loi	2	2	0		
loign	2	2	0		
Lyoniaus	2	2	0		
mainne	2	2	0		
mantel	2	2	0		
mantiaus	2	2	0		
mauvais	2	2	0		
mauvaisement	2	2	0		
mauvaitié	2	2	0		
mauveitié	2	2	0		
meillor	2	2	0		
meillors	2	2	0		
mena	2	2	0		
merciz	2	2	0		
merveilla	2	2	0		
mesaise	2	2	0		
mescreanz	2	2	0		
mesfaire	2	2	0		
messe	2	2	0		
Messire	2	2	0		
mesure	2	2	0		
mete	2	2	0		
mont	2	2	0		
mostra	2	2	0		
navré	2	2	0		
navrez	2	2	0		
neiant	2	2	0		
nes	2	2	0		
niés	2	2	0		
nois	2	2	0		
